name,employer,salary_from,salary_to,salary_from_rub,salary_to_rub,currency,experience,schedule,url
Data Scientist в отдел разработки скоринговых моделей,Т-Банк,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/122098808
Data Scientist SOP,Alta Personnel,350000.0,,350000.0,,RUR,Более 6 лет,Полный день,https://hh.ru/vacancy/127804137
"Middle + Data Scientist (AdTech, предсказательные модели, классический ML) (офис)",Hyper AdTech,170000.0,300000.0,170000.0,300000.0,RUR,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127644012
Data scientist (ML Engineer),РЖД - Цифровые пассажирские решения,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/124042811
Data Scientist,Московский Кредитный Банк,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127527754
Data Scientist,FIX PRICE,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/125969338
Data Scientist,Спортлевел,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127629807
Data Scientist (Исследователь данных),СБЕР,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127920107
"Эксперт в Продвинутую аналитику и моделирование (Data Scientist, Data Analyst)",Банк ДОМ.РФ,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/123826759
Middle+ Data Scientist/Data Engineer (AI),Современные Фонды Недвижимости,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127158918
Data Scientist,Протектор,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/124803044
Data Scientist,PravoTech,,350000.0,,350000.0,RUR,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127349904
"Technical Product Manager (AI / IoT / Web3, B2B, PMF)",Ambersoft,2000.0,3000.0,180000.0,270000.0,USD,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127609996
Data Scientist,Беляева Анастасия Александровна,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127405933
DS аналитик,"САТЕЛ, Группа компаний",,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127544046
Data Scientist,Центральный банк Российской Федерации (Банк России),,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127885541
Аналитик маркетинга / Marketing Analyst (в составе Data Team),АПТЕКИ ВАША № 1,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/125165114
Data scientist (NLP) senior,Платформа ОФД,300000.0,350000.0,300000.0,350000.0,RUR,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127730072
"Data Scientist, Anti-Fraud, Ozon Bank",Ozon,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127383480
Data Scientist,FIX PRICE,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127089557
Разработчик Machine Learning (Data Scientist),ГК Дамате,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127332708
Специалист по валидации моделей (Junior Data Scientist) Управления модельных рисков и валидации,Банк ВТБ (ПАО),,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/125616769
"Data Scientist, NLP, Ozon Банк",Ozon,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/126231402
Junior/Middle Data scientist (валидация/мониторинг моделей B2C),СБЕР,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/125898038
"С++ Программист (ML Engineer / Data Scientist, видеоаналитик)",НЭПТ,200000.0,350000.0,200000.0,350000.0,RUR,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127937387
Senior Product Data Scientist,ArtWorkout,5000.0,8000.0,450000.0,720000.0,USD,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127824710
"Старший Data Scientist, RND проекты поиска",Ozon,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/121071193
Data scientist модели скоринга ЮЛ (Senior),Альфа-Банк,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127939979
Data Scientist / ML-инженер,Медиалогия,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127220247
ML Engineer / Data Scientist по разработке AI-помощника для HR Tech,Innovative People,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127828746
Data Scientist (RecSys),М.Видео-Эльдорадо,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127214595
Data Scientist (CV),Государственное казенное учреждение Московской Области «Центр Компетенций Госуправления»,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127104249
Биоинформатик (тематика - онкология),ФГБУ ЦСП ФМБА России,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/126273102
Data scientist (NLP) middle,Платформа ОФД,,230000.0,,230000.0,RUR,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127363992
Data scientist (с релокацией),AMarkets,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127599186
Менеджер IT-продукта (RnD),InternetUrok,,180000.0,,180000.0,RUR,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127076179
Senior Data Scientist в Центр моделирования (Риски),АО «ОТП Банк» (JSC «OTP Bank»),,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127871241
Главный разработчик моделей (Data Scientist),Московский Кредитный Банк,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127159820
